,Address,City,Beds,Beds_Min,Beds_Max,Baths,Bath_Min,Bath_Max,List_Price,Price_Min,Price_Max,Pets_Allowed,List_Date,Update_Date,House_or_Apt,URL
82,1032 W Jefferson St Apt 10,Orlando,2.0,,,1.0,,,1050.0,,,,,2022-05-28T23:02:04Z,condos,https://www.realtor.com/realestateandhomes-detail/1032-W-Jefferson-St-Apt-10_Orlando_FL_32805_M96110-06637
83,5300 Lake Margaret Dr # 392-0818,Orlando,2.0,,,2.0,,,1583.0,,,,,2022-05-26T13:08:18Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Lake-Margaret-Dr-392-0818-Fl-32812_Orlando_FL_32812_M95976-47935
84,5300 Lake Margaret Dr # 468-1517,Orlando,2.0,,,2.0,,,1598.0,,,,,2022-05-07T13:06:36Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Lake-Margaret-Dr-468-1517-Fl-32812_Orlando_FL_32812_M95629-97667
85,5300 Lake Margaret Dr # 384-0122,Orlando,2.0,,,2.0,,,1613.0,,,,,2022-05-07T13:06:36Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Lake-Margaret-Dr-384-0122-Fl-32812_Orlando_FL_32812_M91095-98335
86,5337 Esplanade Park Cir # 7114,Orlando,2.0,,,2.0,,,1535.0,,,,,2022-05-05T12:19:53Z,apartment,https://www.realtor.com/realestateandhomes-detail/5337-Esplanade-Park-Cir-7114_Orlando_FL_32839_M90031-71754
87,1022 24th St,Orlando,3.0,,,1.0,,,1150.0,,,,,2022-05-27T00:37:04Z,single_family,https://www.realtor.com/realestateandhomes-detail/1022-24th-St_Orlando_FL_32805_M61638-27619
88,5300 Lake Margaret Dr # 228-0803,Orlando,2.0,,,2.0,,,1648.0,,,,,2022-05-20T01:13:01Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Lake-Margaret-Dr-228-0803-Fl-32812_Orlando_FL_32812_M92410-98319
89,5300 Lake Margaret Dr # 208-1304,Orlando,2.0,,,2.0,,,1648.0,,,,,2022-05-20T01:13:01Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Lake-Margaret-Dr-208-1304-Fl-32812_Orlando_FL_32812_M93282-27321
90,11600 Mackay Blvd,Orlando,,1.0,2.0,,1.0,1.0,,1350.0,1550.0,,2021-09-16T23:39:33Z,2022-05-24T02:20:46Z,apartment,https://www.realtor.com/realestateandhomes-detail/11600-Mackay-Blvd_Orlando_FL_32826_M55307-36912
91,1968 Lake Heritage Cir # 12208,Orlando,2.0,,,2.0,,,1615.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/1968-Lake-Heritage-Cir-12208_Orlando_FL_32839_M96632-19798
