,providerListingId,statusText,price,address,beds,baths,availabilityDate
37,5gs5uukr5n4f3,Apartment for rent,"$1,695/mo","111 MacLandon Ct, 111 Maclandon Ct #412, Winter Haven, FL 33884",2.0,2.5,2022-06-15 00:00:00
38,3a9vb9pk0pgu9,House for rent,"$1,275/mo","1240 6th St NE, Winter Haven, FL 33881",2.0,1.0,
39,7uty2kkxwbfx,Apartment for rent,"$1,395/mo","212 Leelon Rd, Lakeland, FL 33809",2.0,1.0,
40,2ghk00qb8634c,Apartment for rent,"$1,000/mo","710 Avenue C SW, Winter Haven, FL 33880",2.0,1.0,
41,14jmdg0stq05x,Haven at Lake Deer,,"350 24th St NW, Winter Haven, FL",,,
42,48x0mxvxqm4d2,Dunson Grove,,"1105 Park Ln, Davenport, FL",,,
0,11w3zvtcph0be,Apartment for rent,"$1,559/mo","Bella Casa Apartments, 5501 Conroy Rd APT 2, Orlando, FL 32811",2.0,1.5,2022-08-12 00:00:00
1,3k29nqs8s2g8,Apartment for rent,"$1,799/mo","Bella Vita Apartments, 4700 Cason Cove Dr #2, Orlando, FL 32811",2.0,2.0,2022-07-15 00:00:00
2,3q4jqbce0u1yw,Apartment for rent,"$1,579+/mo","Conway Forest, 2520 S Conway Rd, Orlando, FL 32812",2.0,1.0,
3,2ku6mch0x1d7d,Apartment for rent,"$1,669/mo","Coconut Palms, 4618 Middlebrook Rd #2-1, Orlando, FL 32811",2.0,1.0,2022-06-24 00:00:00
4,19mfzgqe2tuty,Harbor Beach,,"5757 Five Flags Blvd, Orlando, FL",,,
5,59vsreb9qscdz,Apartment for rent,"$1,739/mo","Aria Beach Apartments, 3211 S Semoran Blvd #2, Orlando, FL 32822",2.0,1.5,2022-07-01 00:00:00
6,3uggj8sen7b8u,The Woodlands Apartments,,"604 Laurel Cove Ct, Orlando, FL",,,
7,32bq93sktfpvm,Apartment for rent,"$1,719/mo","Azure Winter Park, 3650 Summer Wind Dr #2-P, Winter Park, FL 32792",2.0,2.0,2022-06-01 00:00:00
8,34kcj0rh3157n,Apartment for rent,"$1,579/mo","Bellagio, 3312 S Semoran Blvd #2, Orlando, FL 32822",2.0,2.0,2022-06-10 00:00:00
9,3bfyjjs1z0rk5,Brooke Commons,,"10237 Eastern Lake Ave, Orlando, FL",,,
10,52thjqdnmwd1f,House for rent,"$1,795/mo","1202 Ferndell Rd, Orlando, FL 32808",4.0,2.0,
11,1d8peyqkw4d7p,House for rent,"$1,595/mo","5642 Westview Dr, Orlando, FL 32810",3.0,2.0,2022-06-06 00:00:00
12,304skuu4jfvwy,House for rent,"$1,799/mo","1627 29th St, Orlando, FL 32805",3.0,2.0,2022-06-28 00:00:00
13,4yb955ngwnmyy,Condo for rent,"$1,475/mo","5526 P G A Blvd #4918, Orlando, FL 32839",3.0,2.0,
14,3gzm020eqzys5,Apartment for rent,"$1,725/mo","4963 Ava Pointe Dr #1-5, Orlando, FL 32822",2.0,2.0,2022-05-16 00:00:00
15,2ncaezh7pmw5p,Apartment for rent,"$1,795/mo","827 Lowell Blvd, Orlando, FL 32803",2.0,2.0,2022-05-27 00:00:00
16,2d1km7aukkevy,House for rent,"$1,700/mo","5607 Indian Hill Rd, Orlando, FL 32808",3.0,1.5,2022-05-07 00:00:00
17,3c4nnak9xcqfp,House for rent,"$1,700/mo","5642 Piney Ridge Dr, Orlando, FL 32808",3.0,2.0,2022-05-13 00:00:00
18,2qx66xd8m8why,Apartment for rent,"$1,650/mo","828 Laurel Ave APT 1, Orlando, FL 32803",2.0,1.0,2022-06-06 00:00:00
19,4cwyfj02k2f3q,House for rent,"$1,650/mo","5201 Bonnie Brae Cir, Orlando, FL 32808",2.0,2.0,2022-05-31 00:00:00
20,hqrkh2994ur4,House for rent,"$1,795/mo","5818 Judy Dee Dr, Orlando, FL 32808",3.0,2.0,2022-06-01 00:00:00
21,51bqwp84wd1r4,House for rent,"$1,795/mo","5218 Grandview Dr, Orlando, FL 32808",3.0,2.0,2022-05-18 00:00:00
